1755425040	-0.998393	-0.9835969	-0.9961054	-0.9993146	-0.9776874	-1.012786	-0.9809742	-0.99817	-1.003713	-0.9886816	-0.9846704	-0.9893505	-0.9981663	-0.9873504	-0.9781297	-0.9711491	-0.9711491
1755425640	-0.9987051	-0.9857756	-0.9967286	-0.9986914	-0.9773771	-1.013564	-0.9817489	-0.9986352	-1.002933	-0.9888371	-0.9846704	-0.9904372	-0.9966124	-0.9812749	-0.9775075	-0.9713039	-0.9713039
1755428040	-0.9955847	-0.9823518	-0.98707	-0.9969778	-0.9764461	-1.009986	-0.9757065	-0.9947581	-0.9993447	-0.9830846	-0.978296	-0.9795703	-0.9922613	-0.982677	-0.9823295	-0.9736256	-0.9736256
1755431040	-0.9974569	-0.9765936	-0.9918993	-0.9938622	-0.9736532	-1.006098	-0.974622	-0.9939826	-0.9901398	-0.9798197	-0.97301	-0.9763102	-0.9986325	-0.9792498	-0.9815518	-0.9696013	-0.9696013
1755434040	-0.9955847	-0.9849975	-0.996417	-0.9994703	-0.9773771	-1.011697	-0.981439	-0.9984801	-1.002621	-0.9882152	-0.9815609	-0.9907476	-0.9978555	-0.9889083	-0.9757964	-0.9713039	-0.9713039
1755437040	-1.000265	-0.9851531	-0.9984422	-0.9993146	-0.9784633	-1.013564	-0.9819038	-0.99817	-1.002621	-0.9882152	-0.9851368	-0.9915238	-0.9975448	-0.9903103	-0.9768853	-0.9736256	-0.9736256
1755440040	-0.9986271	-0.9862425	-0.997819	-1.000561	-0.9781529	-1.012475	-0.9820588	-0.9987903	-1.004025	-0.9875933	-0.9866915	-0.9909029	-0.9966124	-0.9871947	-0.9771964	-0.9742447	-0.9742447
1755443040	-0.9995632	-0.9863982	-0.9976633	-0.9997819	-0.9790839	-1.012942	-0.9823686	-0.9991005	-1.003713	-0.9880597	-0.9835821	-0.9909029	-0.9984771	-0.9893756	-0.977663	-0.9743995	-0.9743995
1755446040	-1.000031	-0.9839081	-0.9968843	-0.9993146	-0.9783081	-1.01232	-0.9809742	-0.9987903	-1.003245	-0.9883706	-0.9856032	-0.9913686	-0.9958354	-0.98626	-0.9761075	-0.9736256	-0.9736256
1755449040	-1.000655	-0.9840637	-0.9973517	-0.9986914	-0.9784633	-1.012008	-0.9823686	-0.9978598	-1.004649	-0.9880597	-0.9854478	-0.9879533	-0.9973894	-0.98626	-0.9765742	-0.9740899	-0.9740899
1755452040	-0.9994071	-0.9857756	-0.9973517	-0.9991588	-0.9784633	-1.013097	-0.9819038	-0.9980149	-1.003245	-0.9885261	-0.9854478	-0.9907476	-0.996457	-0.9864158	-0.9793741	-0.9734708	-0.9734708
1755455040	-0.998471	-0.9854644	-0.9965728	-0.9993146	-0.9784633	-1.011386	-0.9809742	-0.9980149	-1.004025	-0.9875933	-0.9849813	-0.9901267	-0.996457	-0.9881294	-0.9748631	-0.9737803	-0.9737803
1755458040	-0.9992511	-0.98562	-0.9975075	-0.9999377	-0.9781529	-1.012786	-0.9809742	-0.9989454	-1.003557	-0.9885261	-0.9856032	-0.9910581	-0.9973894	-0.9890641	-0.9773519	-0.9730064	-0.9730064
