1.500000001e12	0.7812	-4.315	9.164	-0.2795
1.500000002e12	-9.603	-8.63	-2.097	-5.603
1.500000003e12	7.594	0.0354	-3.807	-8.561
1.500000004e12	3.442	7.908	0.5298	8.418
1.500000005e12	-7.897	2.402	5.924	-5.021
1.500000006e12	4.283	-9.622	-5.038	8.499
1.500000007e12	-4.617	-4.755	7.292	-7.136
1.500000008e12	-9.725	-9.47	-4.863	-0.03662
1.500000009e12	7.428	8.776	-7.745	9.707
1.50000001e12	4.502	4.658	-7.476	7.959
1.500000011e12	-6.7	4.171	3.962	-1.427
1.500000012e12	9.652	-2.408	6.251	-6.144
1.500000013e12	-6.215	1.714	4.142	1.395
1.500000014e12	4.021	-5.515	5.066	-4.877
1.500000015e12	-4.093	-6.655	-3.567	-8.263
1.500000016e12	8.883	-3.019	-7.285	-3.949
1.500000017e12	9.84	-4.214	2.126	5.577
1.500000018e12	-7.6	-6.278	1.396	-7.106
1.500000019e12	-7.45	-5.748	-7.246	-5.238
1.50000002e12	-5.851	2.365	-7.302	0.6018
1.500000021e12	-5.292	5.123	-9.161	-6.158
1.500000022e12	0.7715	3.141	7.225	3.315
1.500000023e12	9.489	-3.347	-1.644	-4.508
1.500000024e12	5.901	5.369	3.977	4.492
1.500000025e12	3.483	-5.61	4.23	6.665
1.500000026e12	-1.395	-4.718	-0.6409	2.209
1.500000027e12	-6.349	8.158	5.69	-4.492
1.500000028e12	-1.75	-0.0647	-3.17	-2.234
1.500000029e12	4.891	-0.3076	-3.601	0.6689
1.50000003e12	-6.536	-4.357	-5.437	1.603
1.500000031e12	-8.66	-7.664	-4.33	-6.13
1.500000032e12	7.14	-7.747	-6.317	-0.1367
1.500000033e12	1.979	-9.258	-6.532	4.646
1.500000034e12	7.614	-6.489	-4.823	-3.408
1.500000035e12	7.728	-8.572	9.235	8.91
1.500000036e12	-3.286	0.7092	9.047	-4.458
1.500000037e12	7.734	6.112	-3.785	6.166
1.500000038e12	5.42	-0.6335	-9.744	-2.051
1.500000039e12	3.121	-3.916	0.9143	-8.925
1.50000004e12	1.349	-2.515	-7.197	-4.163
1.500000041e12	0.09155	-2.341	-9.83	8.328
1.500000042e12	3.378	-4.282	2.7	-6.759
1.500000043e12	9.929	-8.879	-1.803	7.507
1.500000044e12	0.1306	6.683	3.48	-1.934
1.500000045e12	6.031	2.29	-3.967	4.523
1.500000046e12	-3.381	-4.048	6.046	-0.2881
1.500000047e12	6.072	-5.464	-0.9338	-0.09521
1.500000048e12	-1.886	0.1099	2.001	-5.604
1.500000049e12	-1.581	-7.222	3.094	5.927
1.50000005e12	7.826	4.348	6.674	1.605
1.500000051e12	9.338	-1.677	8.168	9.166
1.500000052e12	-5.636	-2.633	-5.112	-6.561
1.500000053e12	-7.292	4.226	-8.252	2.112
1.500000054e12	2.771	-0.1074	-8.68	-1.438
1.500000055e12	5.831	5.802	-3.253	0.7153
1.500000056e12	6.547	-2.114	-1.239	-5.573
1.500000057e12	-6.671	-9.091	1.221	-9.471
1.500000058e12	-2.482	5.267	-1.718	-5.447
1.500000059e12	5.27	-3.434	-5.726	-9.27
1.50000006e12	3.065	7.941	0.4858	6.722
1.500000061e12	-9.867	0.08789	-5.518	-6.342
1.500000062e12	7.446	-2.861	-4.596	0.9058
1.500000063e12	-9.006	8.839	6.649	7.963
1.500000064e12	-4.581	-8.959	3.744	8.705
1.500000065e12	-4.834	7.206	-0.2856	-4.62
1.500000066e12	9.208	1.593	-5.209	3.268
1.500000067e12	9.647	-9.315	-4.976	-9.279
1.500000068e12	-7.188	8.328	7.881	7.251
1.500000069e12	1.918	-8.929	-1.14	5.148
1.50000007e12	-2.001	9.628	4.185	1.377
1.500000071e12	6.533	8.416	6.729	3.639
1.500000072e12	-5.565	6.615	-9.259	5.168
1.500000073e12	-4.181	-2.172	-9.55	-6.454
1.500000074e12	8.173	-1.346	1.046	-8.806
1.500000075e12	-4.222	8.214	2.64	0.06958
1.500000076e12	-9.187	4.504	-3.474	-1.809
